labelAnswer|title|slug|answer|commentAnswer|summary|content|authorEmail|||
A. L'unit&eacute; de base de la temp&eacute;rature est le degr&eacute; Celsius (C).|1. Concernant les unit&eacute;s, quelle(s) est la (les) propositions vraie(s) ?|UE3T130301|FAUX|A. Faux, c'est le Kelvin (K).||||||
B. Le Joule est l'unit&eacute; de base du travail.|1. Concernant les unit&eacute;s, quelle(s) est la (les) propositions vraie(s) ?|UE3T130301|FAUX|B. Faux, le Joule n'est pas une unit&eacute; de base mais une unit&eacute; d&eacute;riv&eacute;e. Cependant, c'est bien l'unit&eacute; du travail. Pour retrouver &agrave; quoi correspond le J, rappellez-vous de la formule de l'Energie cin&eacute;tique ! (Ec=1/2mv2 donc les dimensions sont kg.m2.s-2)||||||
C. Le gramme est l'unit&eacute; de base de la masse.|1. Concernant les unit&eacute;s, quelle(s) est la (les) propositions vraie(s) ?|UE3T130301|FAUX|C. Faux, c'est le kilogramme.||||||
D. La mole est l'unit&eacute; de base de la quantit&eacute; de mati&egrave;re.|1. Concernant les unit&eacute;s, quelle(s) est la (les) propositions vraie(s) ?|UE3T130301|VRAI|||||||
E. Le candela est l'unit&eacute; d&eacute;riv&eacute;e de l'intensit&eacute; lumineuse.|1. Concernant les unit&eacute;s, quelle(s) est la (les) propositions vraie(s) ?|UE3T130301|FAUX|E. Faux, c'est l'unit&eacute; de base.||||||
A. 1°C=274 K|2. Concernant les grandeurs, quelle(s) est la (les) propositions vraie(s) ?|UE3T130302|VRAI|A. Vrai, puisque 0°C=273 K (&agrave; conna&icirc;tre).||||||
B. La vitesse est une grandeur d&eacute;riv&eacute;e.|2. Concernant les grandeurs, quelle(s) est la (les) propositions vraie(s) ?|UE3T130302|VRAI|B. Vrai, v=m.s-1= km.h-1...||||||
C. L'une des unit&eacute;s de la vitesse est le km.h-1|2. Concernant les grandeurs, quelle(s) est la (les) propositions vraie(s) ?|UE3T130302|VRAI|||||||
D. La dimension d'une acc&eacute;l&eacute;ration est L-1.M.T-2|2. Concernant les grandeurs, quelle(s) est la (les) propositions vraie(s) ?|UE3T130302|FAUX|D. Faux, il faut toujours partir de la formule : &Eacute;�=dv/dt or v=m.s-1 donc &Eacute;�=m.s-1/s donc la dimension est L.T-2||||||
E. La dimension du travail est la m&ecirc;me que celle de l'&eacute;nergie.|2. Concernant les grandeurs, quelle(s) est la (les) propositions vraie(s) ?|UE3T130302|VRAI|||||||
A. Les lois de Newton relient l'acc&eacute;l&eacute;ration d'un syst&egrave;me et la r&eacute;sultante des forces s'exer&ccedil;ant sur lui.|3. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130303|VRAI|||||||
B. La premi&egrave;re loi de Newton concerne le mouvement d'une particule sous l'effet d'une force F constante.|3. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130303|FAUX|B. Faux, c'est la seconde loi de Newton. (La 1&egrave; loi est le principe d'inertie et n'est pas dans le cours de M.Capron)||||||
C. Selon la seconde loi de Newton, F=m&Eacute;� avec m pour la masse et &Eacute;� pour l'acc&eacute;l&eacute;ration.|3. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130303|VRAI|||||||
D. Selon la seconde loi de Newton, l'acc&eacute;l&eacute;ration subie par ce syst&egrave;me est proportionnelle &agrave; la r&eacute;sultante des forces qu'il subit et &agrave; la masse.|3. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130303|FAUX|D. Faux, &Eacute;�=F/m donc est proportionnelle &agrave; F mais inversement proportionnelle &agrave; la masse.||||||
E. Selon la seconde loi de Newton, la particule soumise &agrave; la force F constante subit une acc&eacute;l&eacute;ration qui d&eacute;pend de sa masse.|3. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130303|VRAI|||||||
A. L'&eacute;nergie potentielle de pesanteur (Epp) s'exprime en J.|4. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130304|VRAI|||||||
B. Epp=mgz, avec m la masse,, z l'altitude et g la pesanteur (g=9,81m.s-2).|4. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130304|VRAI|||||||
C. Elle correspond &agrave; l'&eacute;nergie que poss&egrave;de un corps dans un champ de pesanteur.|4. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130304|VRAI|||||||
D. L'&eacute;nergie potentielle est par convention &eacute;gale &agrave; 0 si z=0.|4. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130304|VRAI|||||||
E. On peut choisir le niveau de r&eacute;f&eacute;rence pour l'Epp &agrave; une altitude quelconque.|4. Concernant le travail et l'&eacute;nergie, quelle(s) est la (les) propositions vraie(s) ?|UE3T130304|VRAI|||||||
A. Un syst&egrave;me ouvert n'&eacute;change pas de mati&egrave;re avec le milieu ext&eacute;rieur.|5. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130305|FAUX|A. Faux.||||||
B. Un syst&egrave;me ferm&eacute; &eacute;change uniquement de l'&eacute;nergie sous forme de chaleur avec le milieu ext&eacute;rieur.|5. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130305|FAUX|B. Faux, cette &eacute;nergie peut &eacute;galement &ecirc;tre sous forme de travail.||||||
C. Un syst&egrave;me isol&eacute; interagit avec le milieu ext&eacute;rieur pour sa r&eacute;organisation interne.|5. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130305|FAUX|C. Faux, un syst&egrave;me isol&eacute; n'interagit pas avec son environnement.||||||
D. Un syst&egrave;me ferm&eacute; a une paroi qualifi&eacute;e d'ind&eacute;formable et d'adiabatique.|5. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130305|FAUX|D. Faux, c'est le syst&egrave;me isol&eacute;.||||||
E. Un syst&egrave;me isol&eacute; n'existe pas dans la r&eacute;alit&eacute; physique.|5. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130305|VRAI|||||||
A. Le premier principe stipule que lors d'une transformation, il y a conservation d'&eacute;nergie.|6. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130306|VRAI|||||||
B. Dans ce principe, la variation d'&eacute;nergie, due &agrave; la transformation d'un syst&egrave;me ferm&eacute;, est &eacute;gale &agrave; la quantit&eacute; d'&eacute;nergie &eacute;chang&eacute;e avec le milieu ext&eacute;rieur sous forme de chaleur seulement.|6. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130306|FAUX|B. Faux, sous forme de travail aussi.||||||
C. Le premier principe dit que ΔE=Q et que ΔE est une constante.|6. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130306|FAUX|C. Faux : ΔE=Q (chaleur) + W (travail).||||||
D. Au repos, ce principe peut s'&eacute;crire ΔE=ΔU=Q (avec U=&eacute;nergie interne) car les Ec et Epp sont constantes.|6. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130306|FAUX|D. Faux ΔE=ΔU=Q+W. En effet, au repos, les Ec et Epp sont constantes donc la variation d'&eacute;nergie est &eacute;gale &agrave; la variation d'&eacute;nergie interne du syst&egrave;me et il ne faut pas oublier le travail! nd||||||
E. Le premier principe de la thermodynamique est &eacute;galement appel&eacute; principe de Carnot.|6. Concernant la thermodynamique, quelle(s) est la (les) propositions vraie(s) ?|UE3T130306|FAUX|E. Faux, c'est le 2 principe.||||||
A. Un conducteur &eacute;lectrique poss&egrave;de une faible r&eacute;sistance permettant ainsi le passage des charges &eacute;lectriques mobiles.|7. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130307|VRAI|||||||
B. Il existe des conducteurs &eacute;lectriques et des conducteurs thermiques.|7. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130307|VRAI|||||||
C. Lorsque le conducteur n'est pas soumis &agrave; un champ &eacute;lectrique, ses charges ont un mouvement ordonn&eacute;.|7. Concernant la conduction, quelle(s) est la (les) propositions vraie(s) ?|UE3T130307|FAUX|C. Faux, elles ont un mouvement al&eacute;atoire.||||||
